,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2528,2023-08-11,マイジャグラーV,668,5648,1250,26,14,141.2,217.2,403.4,5.656177815008495,1,1,-2189.0,6626.0,389.8,389.8
2529,2023-08-11,マイジャグラーV,670,1318,-803,3,0,439.3,439.3,0.0,5.811003909674733,0,1,-1317.0,3223.0,402.9,402.9
2530,2023-08-11,マイジャグラーV,671,5406,1039,23,18,131.9,235.0,300.3,5.765020100162213,3,1,-319.0,3883.0,298.7,323.6
2531,2023-08-11,マイジャグラーV,672,2768,-558,7,10,162.8,395.4,276.8,5.797986301545182,0,1,-194.0,5873.0,279.7,451.8
2532,2023-08-11,マイジャグラーV,673,3543,-36,15,7,161.0,236.2,506.1,6.06396716451636,0,1,-253.0,4153.0,296.6,377.5
2533,2023-08-11,マイジャグラーV,675,3918,1050,18,10,139.9,217.7,391.8,5.493534271057059,0,1,153.0,4458.0,297.2,278.6
2534,2023-08-11,マイジャグラーV,676,3407,-803,10,9,179.3,340.7,378.6,5.965725040428918,0,1,-203.0,1204.0,240.8,1204.0
2535,2023-08-11,マイジャグラーV,677,4096,-147,17,7,170.7,240.9,585.1,5.975145146720448,1,1,114.0,6074.0,253.1,357.3
3100,2023-08-03,マイジャグラーV,628,7909,1517,35,24,134.1,226.0,329.5,5.820142348307874,3,3,-506.0,4749.0,296.8,316.6
3101,2023-08-03,マイジャグラーV,630,8120,3883,41,31,112.8,198.0,261.9,5.566932612246449,5,3,-1094.0,1988.0,497.0,662.7
3102,2023-08-03,マイジャグラーV,631,8403,706,30,35,129.3,280.1,240.1,5.866586170001863,4,3,-972.0,1311.0,437.0,0.0
3103,2023-08-03,マイジャグラーV,632,3260,-514,12,6,181.1,271.7,543.3,6.074966484027891,0,3,1478.0,6231.0,207.7,389.4
3104,2023-08-03,マイジャグラーV,633,7802,1139,33,23,139.3,236.4,339.2,5.781296063392912,2,3,-392.0,1407.0,281.4,469.0
3105,2023-08-03,マイジャグラーV,635,5984,-1661,16,16,187.0,374.0,374.0,5.88853831442795,2,3,-342.0,4706.0,276.8,392.2
3106,2023-08-03,マイジャグラーV,636,2728,-2033,4,3,389.7,682.0,909.3,6.0162052044673935,0,3,-325.0,870.0,290.0,870.0
3107,2023-08-03,マイジャグラーV,637,5553,-503,19,14,168.3,292.3,396.6,5.792080359863214,1,3,-161.0,5622.0,312.3,312.3
3108,2023-08-03,マイジャグラーV,638,6954,-928,17,29,151.2,409.1,239.8,5.653770221530047,5,3,-147.0,1704.0,340.8,189.3
3109,2023-08-03,マイジャグラーV,650,5211,606,23,11,153.3,226.6,473.7,5.756347886574644,1,3,983.0,6307.0,225.2,371.0
3110,2023-08-03,マイジャグラーV,651,4609,1744,27,7,135.6,170.7,658.4,5.870671267777144,1,3,297.0,6651.0,316.7,221.7
3111,2023-08-03,マイジャグラーV,652,5351,-403,18,16,157.4,297.3,334.4,5.85819840203078,3,3,-103.0,1054.0,263.5,1054.0
3112,2023-08-03,マイジャグラーV,653,4020,425,18,6,167.5,223.3,670.0,5.6226424370406525,1,3,525.0,2813.0,200.9,468.8
