日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,year,month,day,weekday,day_end,day_end_2,day_zoro,machine_end,machine_end_2,machine_zoro,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-10,アイムジャグラーEX-TP,319,2503,-541,8,5,192.5,312.9,500.6,6.065792596374187,0,2023,9,10,6,0,1,0,9,1,0,2759.0,8777.0,243.8,199.5
2023-09-10,アイムジャグラーEX-TP,320,912,-89,3,0,304.0,304.0,0.0,4.986747663405249,0,2023,9,10,6,0,1,0,0,2,0,-140.0,3563.0,296.9,356.3
2023-09-10,アイムジャグラーEX-TP,321,2293,-470,8,3,208.5,286.6,764.3,6.050755042135341,0,2023,9,10,6,0,1,0,1,2,0,2077.0,8006.0,216.4,296.5
2023-09-10,アイムジャグラーEX-TP,322,1680,-290,5,3,210.0,336.0,560.0,5.563886666278077,0,2023,9,10,6,0,1,0,2,2,1,1577.0,7694.0,248.2,295.9
2023-09-10,アイムジャグラーEX-TP,323,2637,860,15,3,146.5,175.8,879.0,6.074847372051436,0,2023,9,10,6,0,1,0,3,2,0,-1622.0,5276.0,405.8,351.7
2023-09-10,アイムジャグラーEX-TP,324,6713,2373,35,14,137.0,191.8,479.5,5.825763738490395,1,2023,9,10,6,0,1,0,4,2,0,-1492.0,5766.0,384.4,320.3
2023-09-10,アイムジャグラーEX-TP,325,271,-46,1,0,271.0,271.0,0.0,5.588713191569745,0,2023,9,10,6,0,1,0,5,2,0,-745.0,6429.0,321.4,267.9
2023-09-10,アイムジャグラーEX-TP,326,1805,377,9,4,138.8,200.6,451.2,6.282719961767648,0,2023,9,10,6,0,1,0,6,2,0,-808.0,4011.0,250.7,668.5
2023-09-10,アイムジャグラーEX-TP,337,1951,-63,8,5,150.1,243.9,390.2,6.548346888120503,0,2023,9,10,6,0,1,0,7,3,0,1857.0,7044.0,220.1,281.8
2023-09-10,アイムジャグラーEX-TP,338,525,-179,2,0,262.5,262.5,0.0,6.502876748809354,0,2023,9,10,6,0,1,0,8,3,0,-1027.0,2159.0,431.8,719.7
