,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
7653,2023-07-25,マイジャグラーV,1033,4155,-2076,8,7,277.0,519.4,593.6,5.674676966580941,1,5,1288.0,5394.0,215.8,299.7
7654,2023-07-25,マイジャグラーV,1034,1983,438,10,3,152.5,198.3,661.0,5.711012836138546,0,5,838.0,3974.0,233.8,441.6
7655,2023-07-25,マイジャグラーV,1035,6495,3108,39,15,120.3,166.5,433.0,5.915103679353295,1,5,838.0,5900.0,226.9,368.8
8738,2023-07-17,マイジャグラーV,952,6695,3756,43,16,113.5,155.7,418.4,6.027358298604142,1,7,-362.0,5042.0,280.1,336.1
8739,2023-07-17,マイジャグラーV,953,4709,-1688,12,9,224.2,392.4,523.2,5.795678246485238,1,7,-1838.0,6445.0,379.1,379.1
8740,2023-07-17,マイジャグラーV,954,6874,-50,27,17,156.2,254.6,404.4,5.934903062383,1,7,-1362.0,3077.0,512.8,615.4
8741,2023-07-17,マイジャグラーV,955,9248,3348,45,35,115.6,205.5,264.2,5.848379694010852,5,7,388.0,5235.0,249.3,307.9
8742,2023-07-17,マイジャグラーV,956,5026,-312,19,11,167.5,264.5,456.9,5.901707293994432,1,7,162.0,8078.0,269.3,299.2
8743,2023-07-17,マイジャグラーV,957,6621,-288,25,17,157.6,264.8,389.5,5.974190030559559,1,7,2268.0,8408.0,215.6,289.9
8744,2023-07-17,マイジャグラーV,958,5609,-50,20,18,147.6,280.4,311.6,5.87003858329842,3,7,-488.0,3151.0,315.1,450.1
8745,2023-07-17,マイジャグラーV,959,7171,-1412,22,22,163.0,326.0,326.0,6.118972265277162,1,7,488.0,6880.0,245.7,382.2
8746,2023-07-17,マイジャグラーV,960,5222,-1088,15,13,186.5,348.1,401.7,5.723188439681037,1,7,-738.0,6242.0,260.1,780.2
