“ú•t,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685
2023-04-26,1,1,0,1,4,1,0,1,1,1,0,3,1,1,0,2,1,0,0,5,5,0,0,0,1,6,0,2,0,0,1,1,1,3,1,5,0,0,0,6,0,1,0,0,1,0,1,4,1
2023-04-25,0,1,0,3,1,0,1,0,0,4,0,0,0,0,2,0,4,2,0,1,5,1,0,0,5,0,3,0,1,1,1,1,4,3,1,0,0,0,0,0,2,2,0,0,0,4,1,0,1
2023-04-17,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,6,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,2
2023-04-16,4,0,1,4,1,1,1,1,1,3,3,5,0,1,1,5,1,1,1,1,1,1,1,1,3,2,5,0,3,1,1,1,1,1,3,0,1,1,0,1,1,1,3,3,0,1,1,1,1
2023-04-15,3,6,1,0,3,1,1,2,1,3,1,2,1,1,4,1,2,5,3,1,1,1,1,1,1,3,1,2,1,6,1,1,5,5,2,3,1,1,1,0,1,3,1,1,0,6,0,4,6
2023-04-07,0,1,1,3,4,2,3,1,0,6,3,4,1,1,1,1,1,3,3,1,4,1,1,4,1,3,2,1,1,3,2,2,1,1,1,1,3,1,2,5,1,0,3,1,4,1,2,2,1
2023-04-05,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,1,1,4,0,1,0,1,0,0,0,3,0,0,0,3,1,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,4
2023-03-27,1,1,3,4,0,3,1,1,1,0,1,1,4,1,2,1,2,1,1,1,2,1,1,3,1,4,4,1,1,1,1,1,1,1,1,4,3,1,1,0,4,1,1,4,1,0,3,1,1
2023-03-26,1,1,3,1,0,5,2,0,0,1,1,1,0,0,1,1,3,1,1,1,0,1,0,1,5,0,1,1,0,1,1,1,4,1,4,0,0,1,2,0,1,0,1,1,1,1,1,0,2
2023-03-25,1,1,1,0,1,3,1,1,0,1,0,1,5,1,0,1,1,1,1,1,1,2,1,1,0,2,3,2,1,1,1,1,1,2,0,1,2,0,0,1,1,1,1,0,4,1,2,1,3
2023-03-17,1,1,1,1,1,4,1,0,1,3,4,1,0,1,3,1,1,5,3,0,1,1,3,6,2,4,1,0,2,1,4,0,3,1,1,1,0,2,1,0,5,3,1,1,5,1,1,3,1
2023-03-16,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,1,0,0,3,0,0,0,0,0,0,4,0,1,1,0,1,0,0,1,0,0,5,1,0,2,0,0,1,4,0,1,1
2023-03-15,3,1,0,1,0,2,1,0,1,1,1,0,1,3,0,0,3,1,0,0,3,0,0,1,0,0,4,0,1,0,1,1,1,1,0,1,0,0,0,3,1,0,0,1,1,0,1,1,3
2023-03-07,1,2,5,1,3,1,5,1,1,0,2,1,1,1,3,1,3,1,5,1,3,1,1,4,3,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,5
2023-03-06,1,0,1,1,0,0,1,2,0,1,1,3,1,1,0,0,1,1,1,0,3,1,1,0,1,1,2,1,1,2,1,2,4,4,1,0,6,1,1,1,1,3,1,0,0,1,0,3,1
2023-03-05,6,1,5,1,0,3,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,2,0,0,1,1,6,0,1,1,1,1,1,2,1,1,3,2,1,1,3,4,0,2,1,1,2,1,1
2023-02-27,1,0,4,1,0,2,1,4,1,1,1,1,5,1,1,3,1,1,2,0,1,0,3,3,1,1,2,1,1,0,1,3,1,1,0,2,3,1,1,1,1,1,1,3,2,0,1,5,1
2023-02-26,2,0,1,2,1,1,1,3,1,1,0,0,1,4,0,2,1,3,1,1,3,1,1,2,1,0,1,3,1,1,1,1,1,1,1,1,3,2,0,1,0,1,1,1,1,0,1,1,1
2023-02-25,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,4,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,3,1,1,1
2023-02-17,1,2,1,2,1,5,1,2,3,1,1,5,4,3,1,6,5,1,1,1,5,4,1,2,5,1,3,3,1,1,1,1,1,1,1,1,4,1,1,1,4,5,1,3,1,5,0,1,1
2023-02-16,0,1,1,0,0,0,0,0,1,0,0,5,0,1,1,0,3,0,1,0,0,2,0,0,1,2,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,2,0
2023-02-15,5,4,2,1,0,0,1,1,0,1,1,1,3,0,0,1,3,0,1,0,1,1,1,0,1,0,1,0,3,3,1,1,1,1,0,1,1,0,3,0,0,0,1,0,1,0,3,0,2
2023-02-07,1,2,1,5,3,4,1,3,5,3,3,2,1,1,1,1,1,1,4,3,1,1,1,5,2,3,1,1,1,1,1,1,3,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-06,1,1,1,3,1,1,1,3,0,1,0,1,1,0,1,1,1,1,1,1,0,3,0,1,0,0,1,3,1,3,1,3,1,0,1,0,0,4,1,0,0,0,1,1,1,1,3,1,1
2023-02-05,1,2,1,0,2,0,1,5,0,0,3,1,1,5,4,2,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,3,2,3,2,1,3,2,1,1,1,6,4,1,2,2,3,1
