,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
1171,2023-06-08,マイジャグラーV,136,7521,-153,24,25,153.5,313.4,300.8,5.593970701455727,3,8,-47.0,3935.0,281.1,357.7
1172,2023-06-08,マイジャグラーV,137,3486,-485,13,7,174.3,268.2,498.0,6.116557289413072,0,8,-840.0,5130.0,342.0,285.0
1173,2023-06-08,マイジャグラーV,138,3094,-627,11,5,193.4,281.3,618.8,6.045241884923418,0,8,-603.0,1307.0,435.7,653.5
1174,2023-06-08,マイジャグラーV,139,3072,533,15,4,161.7,204.8,768.0,5.666539950388631,0,8,628.0,3087.0,220.5,308.7
1175,2023-06-08,マイジャグラーV,140,4274,-1431,11,12,185.8,388.5,356.2,6.095118336084318,1,8,-153.0,3052.0,254.3,436.0
1176,2023-06-08,マイジャグラーV,141,3057,225,13,7,152.8,235.2,436.7,5.845361492334556,0,8,1843.0,6639.0,195.3,368.8
1177,2023-06-08,マイジャグラーV,142,4804,1929,24,13,129.8,200.2,369.5,5.408831706819164,2,8,-366.0,1334.0,444.7,333.5
1178,2023-06-08,マイジャグラーV,143,6568,486,29,14,152.7,226.5,469.1,5.947409362631316,1,8,-319.0,1552.0,310.4,776.0
1179,2023-06-08,マイジャグラーV,144,3536,-603,10,9,186.1,353.6,392.9,5.551887531068236,0,8,1882.0,6575.0,263.0,199.2
1180,2023-06-08,マイジャグラーV,145,6483,-792,18,26,147.3,360.2,249.3,5.873329334137819,4,8,-343.0,1136.0,378.7,568.0
1181,2023-06-08,マイジャグラーV,146,9293,2988,44,31,123.9,211.2,299.8,5.708027035634259,3,8,-485.0,3274.0,327.4,327.4
1182,2023-06-08,マイジャグラーV,147,4271,-556,14,12,164.3,305.1,355.9,5.932568981224504,1,8,-177.0,785.0,392.5,261.7
1183,2023-06-08,マイジャグラーV,148,1552,-982,3,1,388.0,517.3,1552.0,5.822594985019949,0,8,912.0,4820.0,253.7,219.1
