日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日の差枚,前日のG数,前日のBB確率,前日のRB確率,翌日,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング
2023-08-11,マイジャグラーV,495,3906,-601,12,10,177.5,325.5,390.6,5.723338792032422,0,1,22,20,210.0,3789.0,236.8,421.0,,,,,
2023-08-11,マイジャグラーV,496,4785,-378,16,11,177.2,299.1,435.0,5.584378637327147,0,1,27,20,937.0,5105.0,232.0,364.6,,,,,
2023-08-11,マイジャグラーV,497,7172,-182,26,23,146.4,275.8,311.8,6.004367340044213,1,1,49,20,-1468.0,4240.0,385.5,605.7,,,,,
2023-08-11,マイジャグラーV,498,5458,-1776,15,11,209.9,363.9,496.2,5.901232148999126,1,1,26,20,881.0,4925.0,205.2,615.6,,,,,
2023-08-11,マイジャグラーV,499,5364,-1105,19,6,214.6,282.3,894.0,5.837165827901448,1,1,25,20,-461.0,4801.0,300.1,320.1,,,,,
2023-08-11,マイジャグラーV,500,6916,434,30,13,160.8,230.5,532.0,5.812133776377152,1,1,43,20,1077.0,6633.0,236.9,368.5,,,,,
2023-08-11,マイジャグラーV,541,5485,-1329,17,11,195.9,322.6,498.6,5.901056139101825,1,1,28,20,-909.0,5378.0,316.4,298.8,,,,,
2023-08-11,マイジャグラーV,542,7727,1525,34,20,143.1,227.3,386.4,5.599830623060214,1,1,54,20,-56.0,7437.0,275.4,354.1,,,,,
2023-08-11,マイジャグラーV,543,8910,3206,45,28,122.1,198.0,318.2,5.785821220088621,3,1,73,20,1245.0,3602.0,211.9,360.2,,,,,
2023-08-11,マイジャグラーV,544,4270,-1189,12,12,177.9,355.8,355.8,6.097426994690865,0,1,24,20,1481.0,8159.0,255.0,247.2,,,,,
