日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日の差枚,前日のG数,前日のBB確率,前日のRB確率,翌日,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング
2023-09-18,アイムジャグラーEX-TP,15,1927,-456,5,6,175.2,385.4,321.2,5.955980820072724,0,8,11,4,-150.0,992.0,248.0,496.0,2023-09-18,4.0,1.0,4.0,3.0
2023-09-18,アイムジャグラーEX-TP,16,751,-42,3,1,187.8,250.3,751.0,5.961687702189329,0,8,4,4,-327.0,2461.0,410.2,246.1,2023-09-18,1.0,3.0,1.0,4.0
2023-09-18,アイムジャグラーEX-TP,17,3929,-808,10,15,157.2,392.9,261.9,6.062664309351358,0,8,25,4,-233.0,1356.0,271.2,678.0,2023-09-18,3.0,2.0,2.5,2.0
2023-09-18,アイムジャグラーEX-TP,18,514,-668,0,0,0.0,0.0,0.0,6.510898281021517,0,8,0,4,-750.0,1408.0,469.3,352.0,2023-09-18,2.0,4.0,2.5,1.0
2023-09-18,マイジャグラーV,1,1504,-1161,2,2,376.0,752.0,752.0,6.089324232384808,0,8,4,14,543.0,7285.0,251.2,331.1,2023-09-18,2.0,4.0,2.0,11.0
2023-09-18,マイジャグラーV,2,5365,-1699,11,17,191.6,487.7,315.6,5.627897783031152,3,8,28,14,-1620.0,3762.0,418.0,376.2,2023-09-18,9.0,14.0,10.0,2.0
2023-09-18,マイジャグラーV,3,2682,-595,8,5,206.3,335.2,536.4,5.6438926881144855,0,8,13,14,-347.0,705.0,352.5,0.0,2023-09-18,14.0,9.0,14.0,1.0
2023-09-18,マイジャグラーV,5,5520,-590,19,12,178.1,290.5,460.0,5.7426903328622485,1,8,31,14,1046.0,6875.0,229.2,361.8,2023-09-18,3.0,3.0,3.0,12.0
2023-09-18,マイジャグラーV,6,4437,1138,23,9,138.7,192.9,493.0,5.910127687279706,0,8,32,14,462.0,6851.0,228.4,456.7,2023-09-18,4.0,5.0,5.0,9.0
2023-09-18,マイジャグラーV,7,1561,-455,5,3,195.1,312.2,520.3,6.203191282620718,0,8,8,14,-135.0,4286.0,267.9,389.6,2023-09-18,7.0,7.0,6.0,8.0
2023-09-18,マイジャグラーV,8,7423,2235,34,26,123.7,218.3,285.5,5.705542988913932,4,8,60,14,377.0,3849.0,226.4,427.7,2023-09-18,8.0,6.0,7.5,10.0
