日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング
2023-09-14,アイムジャグラーEX-TP,118,327,-322,0,1,327.0,0.0,327.0,6.388112406554321,0,4,1,21,4516.0,-347.0,16.0,13.0,29.0,155.7,282.2,347.4,11.0,11.5,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,120,1820,-1021,3,6,202.2,606.7,303.3,6.4559256263179,0,4,9,21,1273.0,-83.0,5.0,3.0,8.0,159.1,254.6,424.3,20.0,6.5,18.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,121,3346,-461,11,8,176.1,304.2,418.2,5.98433888141403,0,4,19,21,8023.0,-264.0,26.0,33.0,59.0,136.0,308.6,243.1,1.0,9.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,122,1371,-98,6,1,195.9,228.5,1371.0,6.212134469013615,0,4,7,21,4715.0,1348.0,24.0,14.0,38.0,124.1,196.5,336.8,10.0,4.0,6.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,123,1857,-1021,2,5,265.3,928.5,371.4,5.51173457789507,0,4,7,21,1671.0,-264.0,7.0,1.0,8.0,208.9,238.7,1671.0,18.0,9.0,18.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,125,619,-629,1,0,619.0,619.0,0.0,7.231518767309937,0,4,1,21,3387.0,-541.0,11.0,12.0,23.0,147.3,307.9,282.2,12.0,16.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,126,1880,-238,6,3,208.9,313.3,626.7,5.525366059175201,0,4,9,21,2865.0,-375.0,11.0,6.0,17.0,168.5,260.5,477.5,15.0,13.5,14.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,211,870,-322,1,3,217.5,870.0,290.0,5.19155650024645,0,4,4,21,1469.0,-625.0,4.0,2.0,6.0,244.8,367.2,734.5,19.0,17.0,20.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,212,3626,-573,12,11,157.7,302.2,329.6,6.400793204087561,0,4,23,21,6850.0,1089.0,27.0,25.0,52.0,131.7,253.7,274.0,2.0,5.0,2.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,213,1075,-461,3,2,215.0,358.3,537.5,6.551412591205567,0,4,5,21,5238.0,-1859.0,10.0,16.0,26.0,201.5,523.8,327.4,5.0,21.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,215,326,-406,0,0,0.0,0.0,0.0,6.235768675170775,0,4,0,21,5079.0,2115.0,25.0,23.0,48.0,105.8,203.2,220.8,6.0,1.0,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,216,2303,-601,7,6,177.2,329.0,383.8,6.371843347166108,0,4,13,21,3274.0,-83.0,11.0,11.0,22.0,148.8,297.6,297.6,13.0,6.5,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,217,1442,-993,2,2,360.5,721.0,721.0,5.886202480140393,0,4,4,21,2203.0,-875.0,5.0,4.0,9.0,244.8,440.6,550.8,17.0,19.0,17.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,218,3366,-1189,8,12,168.3,420.8,280.5,6.460148674775157,0,4,20,21,2810.0,-1347.0,7.0,7.0,14.0,200.7,401.4,401.4,16.0,20.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,220,4037,1245,19,12,130.2,212.5,336.4,5.8347869593826704,2,4,31,21,4905.0,-347.0,16.0,15.0,31.0,158.2,306.6,327.0,9.0,11.5,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
