日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,出現回数
2022/9/29,4,押忍!番長ZERO,3890,324,1078,50.0%(6/12),9,8
2022/9/19,2,政宗 戦極,5920,1973,2330,66.7%(2/3),9,8
2022/9/19,8,バジリスク絆2,1400,88,2002,31.2%(5/16),9,8
2023/8/29,7,HEY！エリートサラリーマン鏡,1612,161,447,20.0%(2/10),9,7
2023/7/29,9,モンスターハンターワールド:アイスボーン,1860,620,2049,100.0%(3/3),9,7
2023/7/19,5,HEY！エリートサラリーマン鏡,4089,409,1371,50.0%(5/10),9,7
2023/6/29,3,HEY！エリートサラリーマン鏡,7941,794,2259,60.0%(6/10),9,7
2023/6/9,4,モンスターハンターワールド:アイスボーン,3158,1053,2064,33.3%(1/3),9,7
2023/6/9,6,HEY！エリートサラリーマン鏡,2759,276,1499,30.0%(3/10),9,7
2023/5/19,5,モンスターハンターワールド:アイスボーン,5659,1886,4704,100.0%(3/3),9,7
2023/5/19,9,HEY！エリートサラリーマン鏡,2030,203,1468,40.0%(4/10),9,7
2023/4/19,2,HEY！エリートサラリーマン鏡,9785,978,2306,70.0%(7/10),9,7
2023/4/9,7,モンスターハンターワールド:アイスボーン,1053,351,4673,66.7%(2/3),9,7
2023/3/29,10,モンスターハンターワールド:アイスボーン,157,52,4562,66.7%(2/3),9,7
2023/3/19,5,HEY！エリートサラリーマン鏡,5783,578,3997,60.0%(6/10),9,7
2023/3/9,7,モンスターハンターワールド:アイスボーン,213,71,2189,33.3%(1/3),9,7
2023/2/9,7,モンスターハンターワールド:アイスボーン,2190,730,5152,66.7%(2/3),9,7
2023/10/9,6,バーサスリヴァイズ,2180,1090,4292,50.0%(1/2),9,6
2023/9/29,7,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,3433,572,1248,50.0%(3/6),9,6
2023/8/29,5,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,2789,558,319,40.0%(2/5),9,6
2023/8/19,7,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,4263,853,2520,60.0%(3/5),9,6
2023/8/9,5,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,4876,975,1062,60.0%(3/5),9,6
2023/5/9,10,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,787,157,4410,60.0%(3/5),9,6
2023/4/29,5,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,5998,1200,4589,60.0%(3/5),9,6
2023/4/9,3,バーサスリヴァイズ,3854,1927,6427,100.0%(2/2),9,6
2023/4/9,9,ひぐらしのなく頃に祭2,947,474,756,50.0%(1/2),9,6
2023/3/9,8,バーサスリヴァイズ,213,106,2767,50.0%(1/2),9,6
2023/3/9,9,ひぐらしのなく頃に祭2,200,100,144,50.0%(1/2),9,6
2023/1/29,9,バーサスリヴァイズ,214,107,2894,50.0%(1/2),9,6
2023/1/19,9,ひぐらしのなく頃に祭2,1553,776,6104,50.0%(1/2),9,6
2022/10/29,2,ひぐらしのなく頃に祭2,790,395,200,50.0%(1/2),9,6
2022/10/29,8,バーサスリヴァイズ,80,40,1365,50.0%(1/2),9,6
2022/10/19,7,ひぐらしのなく頃に祭2,610,305,4245,50.0%(1/2),9,6
2022/9/29,2,ひぐらしのなく頃に祭2,4780,2390,3910,50.0%(1/2),9,6
2022/9/29,3,バーサスリヴァイズ,3960,1980,5105,100.0%(2/2),9,6
2023/6/29,8,真俺の空,2257,752,482,66.7%(2/3),9,5
2023/6/9,9,真俺の空,2014,671,1517,33.3%(1/3),9,5
2023/2/19,8,戦国乙女 暁の関ヶ原‐DARKNESS‐,1466,733,840,100.0%(2/2),9,5
2023/2/9,2,真俺の空,6659,2220,1468,66.7%(2/3),9,5
2023/1/29,10,真俺の空,160,53,1754,33.3%(1/3),9,5
2022/12/29,8,真俺の空,1000,333,3818,66.7%(2/3),9,5
2022/11/29,10,聖闘士星矢 冥王復活,27,9,148,33.3%(1/3),9,5
2022/11/19,7,戦国乙女 暁の関ヶ原‐DARKNESS‐,200,100,510,50.0%(1/2),9,5
2022/11/19,8,聖闘士星矢 冥王復活,147,74,406,50.0%(1/2),9,5
2022/11/9,10,聖闘士星矢 冥王復活,110,37,310,33.3%(1/3),9,5
2022/10/29,6,戦国乙女 暁の関ヶ原‐DARKNESS‐,320,160,755,100.0%(2/2),9,5
2022/10/19,8,聖闘士星矢 冥王復活,380,127,147,33.3%(1/3),9,5
2022/10/9,2,戦国乙女 暁の関ヶ原‐DARKNESS‐,3270,1635,2380,100.0%(2/2),9,5
2022/10/9,9,聖闘士星矢 冥王復活,780,260,630,66.7%(2/3),9,5
2022/9/29,10,戦国乙女 暁の関ヶ原‐DARKNESS‐,730,365,575,50.0%(1/2),9,5
2023/10/9,4,バキ 強くなりたくば喰らえ!!!,2778,1389,3320,50.0%(1/2),9,4
2023/10/9,5,ゴブリンスレイヤー,2693,673,3495,50.0%(2/4),9,4
2023/9/29,4,スマスロ北斗の拳,5815,415,3772,50.0%(7/14),9,4
2023/9/9,9,主役は銭形4,4249,1416,3521,100.0%(3/3),9,4
2023/8/29,3,主役は銭形4,4603,1534,3161,66.7%(2/3),9,4
2023/8/29,4,スマスロ北斗の拳,4193,300,4058,50.0%(7/14),9,4
2023/8/19,6,主役は銭形4,5963,1988,4029,66.7%(2/3),9,4
2023/7/29,8,スマスロ北斗の拳,2364,296,5231,25.0%(2/8),9,4
